LokaleSuche;EliteAnteil;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
100;0.0;20;5;7;2;436;0.029524653085326247
100;0.25;20;5;7;2;352;0.007381163271331562
100;0.5;20;5;7;2;469;0.0
100;0.75;20;5;7;2;475;0.007381163271331562
100;1.0;20;5;7;2;475;0.029524653085326247
100;0.0;20;10;7;3;531;0.0
100;0.25;20;10;7;3;534;0.0
100;0.5;20;10;7;3;538;0.0
100;0.75;20;10;7;3;538;0.0
100;1.0;20;10;7;3;539;0.0
100;0.0;20;20;7;4;575;0.0
100;0.25;20;20;7;4;575;0.0
100;0.5;20;20;7;4;573;0.0
100;0.75;20;20;7;4;575;0.0
100;1.0;20;20;7;4;574;0.0
250;0.0;50;5;7;1;254;0.3645273096689375
250;0.25;50;5;7;1;253;0.24202223019003224
250;0.5;50;5;7;1;253;0.2614437671805904
250;0.75;50;5;7;1;252;0.1374447233177961
250;1.0;50;5;7;1;252;0.13296283016612884
250;0.0;50;10;7;2;275;0.9036820835204311
250;0.25;50;10;7;2;276;0.7162101481814099
250;0.5;50;10;7;2;276;0.6151773686573867
250;0.75;50;10;7;2;276;0.7083520431073193
250;1.0;50;10;7;2;276;0.5365963179164795
250;0.0;50;20;7;3;265;0.8600367425905152
250;0.25;50;20;7;3;270;0.7771220471800875
250;0.5;50;20;7;3;258;0.6828269033799932
250;0.75;50;20;7;3;278;0.6486855582109935
250;1.0;50;20;7;3;278;0.6592531174299696
500;0.0;100;5;7;4;144;0.5052306722305644
500;0.25;100;5;7;4;141;0.5583255212006073
500;0.5;100;5;7;4;141;0.45545425132114914
500;0.75;100;5;7;4;129;0.3550718024871618
500;1.0;100;5;7;4;142;0.3990409742904786
