LokaleSuche;EliteAnteil;Pheromon_Max;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
250;0.8;3.0;50;5;8;2;367;0.27112446937068135
250;0.8;5.0;50;5;8;2;418;0.2974622749666904
250;0.8;7.0;50;5;8;2;429;0.24013881572831777
250;0.9;3.0;50;5;8;2;398;0.14718185480122703
250;0.9;5.0;50;5;8;2;460;0.16422396430452701
250;0.9;7.0;50;5;8;2;509;0.15492826821181793
250;1.0;3.0;50;5;8;2;480;0.13943544139063616
250;1.0;5.0;50;5;8;2;587;0.17042109503299974
250;1.0;7.0;50;5;8;2;662;0.2602794905958541
250;0.8;3.0;50;10;8;3;421;0.5966229757434751
250;0.8;5.0;50;10;8;3;458;0.7382921379373891
250;0.8;7.0;50;10;8;3;485;0.6680334477436595
250;0.9;3.0;50;10;8;3;404;0.7428992651632075
250;0.9;5.0;50;10;8;3;520;0.5597659579369284
250;0.9;7.0;50;10;8;3;493;0.8338900278731197
250;1.0;3.0;50;10;8;3;509;0.6092925756144756
250;1.0;5.0;50;10;8;3;643;0.6046854483886572
250;1.0;7.0;50;10;8;3;725;0.8327382460666652
250;0.8;3.0;50;20;8;4;432;0.38425140321106904
250;0.8;5.0;50;20;8;4;416;0.5343623547839708
250;0.8;7.0;50;20;8;4;409;0.6926315102467041
250;0.9;3.0;50;20;8;4;450;0.5425205586738023
250;0.9;5.0;50;20;8;4;485;0.4487012139407388
250;0.9;7.0;50;20;8;4;468;0.6151285732933037
250;1.0;3.0;50;20;8;4;498;0.5310990732280381
250;1.0;5.0;50;20;8;4;618;0.7391332724187443
250;1.0;7.0;50;20;8;4;717;0.6183918548492363
500;0.8;3.0;100;5;8;1;194;0.24205050759291885
500;0.8;5.0;100;5;8;1;202;-0.02391140196325195
500;0.8;7.0;100;5;8;1;185;0.10613306485443409
500;0.9;3.0;100;5;8;1;197;0.1677993120228207
500;0.9;5.0;100;5;8;1;236;0.05369577984730262
500;0.9;7.0;100;5;8;1;240;0.034398858964678244
500;1.0;3.0;100;5;8;1;236;0.11829851497608859
500;1.0;5.0;100;5;8;1;292;0.11284503733534693
500;1.0;7.0;100;5;8;1;339;0.14934138770031044
500;0.8;3.0;100;10;8;2;184;1.1832277551131976
500;0.8;5.0;100;10;8;2;196;0.9782215024224905
500;0.8;7.0;100;10;8;2;227;1.1412014733116027
500;0.9;3.0;100;10;8;2;199;0.9826633045641224
500;0.9;5.0;100;10;8;2;211;1.1237759418328925
500;0.9;7.0;100;10;8;2;229;1.13368457737961
500;1.0;3.0;100;10;8;2;240;1.0755994724505764
500;1.0;5.0;100;10;8;2;284;1.1770775675324763
500;1.0;7.0;100;10;8;2;354;1.1285594210623424
