LokaleSuche;EliteAnteil;Pheromon_Max;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
100;0.9;5.0;20;5;9;4;1085;0.0
100;0.9;5.0;20;10;9;1;1113;0.0
100;0.9;5.0;20;20;9;2;1225;0.0
250;0.9;5.0;50;5;9;3;427;0.32231942966926536
250;0.9;5.0;50;10;9;4;482;0.7110415766675618
250;0.9;5.0;50;20;9;1;440;0.4219615112563721
500;0.9;5.0;100;5;9;2;195;0.5348451194380518
500;0.9;5.0;100;10;9;3;204;0.9253093704467987
500;0.9;5.0;100;20;9;4;202;0.8014772012766329
