LokaleSuche;EliteAnteil;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
100;0.0;20;5;7;2;479;0.022143489813994686
100;0.25;20;5;7;2;479;0.04428697962798937
100;0.5;20;5;7;2;479;0.029524653085326247
100;0.75;20;5;7;2;479;0.029524653085326247
100;1.0;20;5;7;2;479;0.029524653085326247
100;0.0;20;10;7;3;509;0.0
100;0.25;20;10;7;3;538;0.0
100;0.5;20;10;7;3;538;0.0
100;0.75;20;10;7;3;538;0.0
100;1.0;20;10;7;3;537;0.0
100;0.0;20;20;7;4;577;0.0
100;0.25;20;20;7;4;576;0.0
100;0.5;20;20;7;4;576;0.0
100;0.75;20;20;7;4;576;0.0
100;1.0;20;20;7;4;575;0.0
250;0.0;50;5;7;1;253;0.3630333452850484
250;0.25;50;5;7;1;253;0.3167204493844867
250;0.5;50;5;7;1;253;0.1882395123700251
250;0.75;50;5;7;1;254;0.16134815346002152
250;1.0;50;5;7;1;253;0.14491454523724154
250;0.0;50;10;7;2;277;0.7498877413560845
250;0.25;50;10;7;2;278;0.6421194431971261
250;0.5;50;10;7;2;277;0.7319263583295914
250;0.75;50;10;7;2;277;0.6017063313875168
250;1.0;50;10;7;2;278;0.5579254602604401
250;0.0;50;20;7;3;278;0.8470305158594676
250;0.25;50;20;7;3;278;0.8242696190801346
250;0.5;50;20;7;3;278;0.7234713619145166
250;0.75;50;20;7;3;278;0.7039620218179453
250;1.0;50;20;7;3;278;0.724284251085207
500;0.0;100;5;7;4;143;0.5176747774579182
500;0.25;100;5;7;4;143;0.5068898862608783
500;0.5;100;5;7;4;143;0.47536481968491523
500;0.75;100;5;7;4;143;0.46333551796513994
500;1.0;100;5;7;4;143;0.4587726793817769
